2022-05-25 22:05:431 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-25 22:05:348 INFO  HomePage :55 - Clicking on SignInHeader[[ChromeDriver: chrome on WINDOWS (3e8401938e10ff32fc8ae771ee4c4f71)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-25 22:05:446 INFO  AuthPage :131 - Enter emailsoft543@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (3e8401938e10ff32fc8ae771ee4c4f71)] -> xpath: //input[@id='email_create']]
2022-05-25 22:05:296 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-25 22:05:650 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-25 23:05:838 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-25 23:05:528 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-25 23:05:976 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-26 00:05:478 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-26 00:05:876 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-26 00:05:133 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-26 00:05:699 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-26 00:05:375 INFO  HomePage :55 - Clicking on SignInHeader[[ChromeDriver: chrome on WINDOWS (643c7ac4e4f6522ac6845d8f0607774c)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-26 00:05:472 INFO  SignInPage :54 - Enter emailtenalirama@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (643c7ac4e4f6522ac6845d8f0607774c)] -> xpath: //input[@id='email']]
2022-05-26 00:05:540 INFO  SignInPage :69 - Clicking on CreateAccoutnButton[[ChromeDriver: chrome on WINDOWS (643c7ac4e4f6522ac6845d8f0607774c)] -> xpath: //body[1]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/div[1]/form[1]/div[1]/div[3]/button[1]/span[1]]
2022-05-26 00:05:118 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-26 00:05:810 INFO  HomePage :55 - Clicking on SignInHeader[[ChromeDriver: chrome on WINDOWS (2ee85101ad6b18092f2a84784ee65374)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-26 00:05:906 INFO  SignInPage :54 - Enter emailtenalirama@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (2ee85101ad6b18092f2a84784ee65374)] -> xpath: //input[@id='email']]
2022-05-26 00:05:970 INFO  SignInPage :69 - Clicking on CreateAccoutnButton[[ChromeDriver: chrome on WINDOWS (2ee85101ad6b18092f2a84784ee65374)] -> xpath: //body[1]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/div[1]/form[1]/div[1]/div[3]/button[1]/span[1]]
2022-05-26 00:05:521 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-26 00:05:776 INFO  HomePage :55 - Clicking on SignInHeader[[ChromeDriver: chrome on WINDOWS (f977dfc1a2b9f4f84c159094768195a2)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-26 00:05:864 INFO  AuthPage :131 - Enter emailtenalirama@gmail.com to email field [[ChromeDriver: chrome on WINDOWS (f977dfc1a2b9f4f84c159094768195a2)] -> xpath: //input[@id='email_create']]
2022-05-26 00:05:915 INFO  AuthPage :113 - Clicking on CreateAccount[[ChromeDriver: chrome on WINDOWS (f977dfc1a2b9f4f84c159094768195a2)] -> xpath: //body[1]/div[1]/div[2]/div[1]/div[3]/div[1]/div[1]/div[1]/form[1]/div[1]/div[3]/button[1]/span[1]]
2022-05-26 00:05:326 INFO  AuthPage :118 - Clicking on Gender button[[ChromeDriver: chrome on WINDOWS (f977dfc1a2b9f4f84c159094768195a2)] -> xpath: //input[@id='id_gender2']]
2022-05-26 00:05:339 INFO  AuthPage :121 - Enter firstnameRamto firstname field[[ChromeDriver: chrome on WINDOWS (f977dfc1a2b9f4f84c159094768195a2)] -> xpath: //input[@id='customer_firstname']]
2022-05-26 00:05:444 INFO  AuthPage :126 - Enter LastNameKrishna to email field [[ChromeDriver: chrome on WINDOWS (f977dfc1a2b9f4f84c159094768195a2)] -> xpath: //input[@id='customer_lastname']]
2022-05-26 00:05:512 INFO  AuthPage :141 - Enter Password abc123 to email field [[ChromeDriver: chrome on WINDOWS (f977dfc1a2b9f4f84c159094768195a2)] -> xpath: //input[@id='email']]
